Date,H Date,Fajr Azan,Fajr Iqama,Shuruq,Zawal,Zohr Azan,Zohr Iqamah,Asr Azan,Asr Iqama,Maghrib Azan,Isah Azan,Isha Iqama,Jumah Khutbah,Jumah
Jan31,,06:19,06:39,08:21,12:30,12:49,12:59,02:50,03:00,05:16,07:10,07:20,12:30,01:00
Feb01,,06:18,06:38,08:19,12:30,12:49,12:59,02:52,03:02,05:18,07:12,07:22,12:30,01:00
Feb02,,06:16,06:36,08:17,12:30,12:49,12:59,02:54,03:04,05:20,07:13,07:23,12:30,01:00
Feb03,,06:15,06:35,08:16,12:30,12:49,12:59,02:55,03:05,05:22,07:15,07:25,12:30,01:00
Feb04,,06:13,06:33,08:14,12:30,12:49,12:59,02:57,03:07,05:24,07:17,07:27,12:30,01:00
Feb05,,06:12,06:32,08:12,12:30,12:50,01:00,02:58,03:08,05:26,07:18,07:28,12:30,01:00
Feb06,,06:10,06:30,08:10,12:30,12:50,01:00,03:00,03:10,05:28,07:20,07:30,12:30,01:00
Feb07,,06:09,06:29,08:09,12:30,12:50,01:00,03:01,03:11,05:30,07:22,07:32,12:30,01:00
Feb08,,06:07,06:27,08:07,12:30,12:50,01:00,03:03,03:13,05:32,07:24,07:34,12:30,01:00
Feb09,,06:06,06:26,08:05,12:30,12:50,01:00,03:05,03:15,05:34,07:25,07:35,12:30,01:00
Feb10,,06:04,06:24,08:03,12:30,12:50,01:00,03:06,03:16,05:36,07:27,07:37,12:30,01:00
Feb11,,06:02,06:22,08:01,12:30,12:50,01:00,03:08,03:18,05:38,07:29,07:39,12:30,01:00
Feb12,,06:01,06:21,07:59,12:30,12:50,01:00,03:09,03:19,05:40,07:31,07:41,12:30,01:00
Feb13,,05:59,06:19,07:57,12:30,12:50,01:00,03:11,03:21,05:42,07:32,07:42,12:30,01:00
Feb14,,05:57,06:17,07:55,12:30,12:50,01:00,03:12,03:22,05:44,07:34,07:44,12:30,01:00
Feb15,,05:55,06:15,07:53,12:30,12:50,01:00,03:14,03:24,05:46,07:36,07:46,12:30,01:00
Feb16,,05:53,06:13,07:51,12:30,12:50,01:00,03:15,03:25,05:48,07:38,07:48,12:30,01:00
Feb17,,05:51,06:11,07:49,12:30,12:50,01:00,03:17,03:27,05:50,07:40,07:50,12:30,01:00
Feb18,,05:49,06:09,07:47,12:30,12:50,01:00,03:18,03:28,05:52,07:42,07:52,12:30,01:00
Feb19,,05:47,06:07,07:44,12:30,12:50,01:00,03:20,03:30,05:54,07:43,07:53,12:30,01:00
Feb20,,05:45,06:05,07:42,12:30,12:50,01:00,03:21,03:31,05:56,07:45,07:55,12:30,01:00
Feb21,,05:43,06:03,07:40,12:30,12:50,01:00,03:23,03:33,05:58,07:47,07:57,12:30,01:00
Feb22,,05:41,06:01,07:38,12:30,12:49,12:59,03:24,03:34,06:00,07:49,07:59,12:30,01:00
Feb23,,05:39,05:59,07:36,12:30,12:49,12:59,03:26,03:36,06:02,07:51,08:01,12:30,01:00
Feb24,,05:37,05:57,07:34,12:30,12:49,12:59,03:27,03:37,06:04,07:53,08:03,12:30,01:00
Feb25,,05:35,05:55,07:31,12:30,12:49,12:59,03:29,03:39,06:06,07:55,08:05,12:30,01:00
Feb26,,05:33,05:53,07:29,12:30,12:49,12:59,03:30,03:40,06:08,07:56,08:06,12:30,01:00
Feb27,,05:30,05:50,07:27,12:30,12:49,12:59,03:32,03:42,06:10,07:58,08:08,12:30,01:00
Feb28,,05:28,05:48,07:25,12:30,12:49,12:59,03:33,03:43,06:12,08:00,08:10,12:30,01:00
Feb29,,05:27,05:47,07:23,12:30,12:49,12:59,03:34,03:44,06:13,08:01,08:11,12:30,01:00
Mar01,,05:26,05:46,07:22,12:30,12:48,12:58,03:34,03:44,06:14,08:02,08:12,12:30,01:00
Mar02,,05:24,05:44,07:20,12:30,12:48,12:58,03:36,03:46,06:16,08:04,08:14,12:30,01:00
Mar03,,05:21,05:41,07:18,12:30,12:48,12:58,03:37,03:47,06:17,08:06,08:16,12:30,01:00
Mar04,,05:19,05:39,07:15,12:30,12:48,12:58,03:39,03:49,06:19,08:08,08:18,12:30,01:00
Mar05,,05:16,05:36,07:13,12:30,12:48,12:58,03:40,03:50,06:21,08:10,08:20,12:30,01:00
Mar06,,05:14,05:34,07:11,12:30,12:47,12:57,03:41,03:51,06:23,08:12,08:22,12:30,01:00
Mar07,,05:12,05:32,07:08,12:30,12:47,12:57,03:42,03:52,06:25,08:14,08:24,12:30,01:00
Mar08,,06:09,06:29,08:06,01:30,01:47,01:57,04:44,04:54,07:27,09:16,09:26,01:30,02:00
Mar09,,06:07,06:27,08:03,01:30,01:47,01:57,04:45,04:55,07:29,09:18,09:28,01:30,02:00
Mar10,,06:04,06:24,08:01,01:30,01:46,01:56,04:46,04:56,07:31,09:20,09:30,01:30,02:00
Mar11,,06:01,06:21,07:59,01:30,01:46,01:56,04:48,04:58,07:33,09:22,09:32,01:30,02:00
Mar12,,05:59,06:19,07:56,01:30,01:46,01:56,04:49,04:59,07:34,09:24,09:34,01:30,02:00
Mar13,,05:56,06:16,07:54,01:30,01:46,01:56,04:50,05:00,07:36,09:26,09:36,01:30,02:00
Mar14,,05:54,06:14,07:51,01:30,01:45,01:55,04:51,05:01,07:38,09:28,09:38,01:30,02:00
Mar15,,05:51,06:11,07:49,01:30,01:45,01:55,04:52,05:02,07:40,09:30,09:40,01:30,02:00
Mar16,,05:48,06:08,07:47,01:30,01:45,01:55,04:54,05:04,07:42,09:32,09:42,01:30,02:00
Mar17,,05:46,06:06,07:44,01:30,01:44,01:54,04:55,05:05,07:44,09:34,09:44,01:30,02:00
Mar18,,05:43,06:03,07:42,01:30,01:44,01:54,04:56,05:06,07:46,09:36,09:46,01:30,02:00
Mar19,,05:40,06:00,07:39,01:30,01:44,01:54,04:57,05:07,07:47,09:38,09:48,01:30,02:00
Mar20,,05:37,05:57,07:37,01:30,01:44,01:54,04:58,05:08,07:49,09:40,09:50,01:30,02:00
Mar21,,05:34,05:54,07:34,01:30,01:43,01:53,04:59,05:09,07:51,09:41,09:51,01:30,02:00
Mar22,,05:32,05:52,07:32,01:30,01:43,01:53,05:01,05:11,07:53,09:42,09:52,01:30,02:00
Mar23,,05:29,05:49,07:29,01:30,01:43,01:53,05:02,05:12,07:55,09:42,09:52,01:30,02:00
Mar24,,05:26,05:46,07:27,01:30,01:42,01:52,05:03,05:13,07:57,09:43,09:53,01:30,02:00
Mar25,,05:23,05:43,07:25,01:30,01:42,01:52,05:04,05:14,07:58,09:44,09:54,01:30,02:00
Mar26,,05:20,05:40,07:22,01:30,01:42,01:52,05:05,05:15,08:00,09:44,09:54,01:30,02:00
Mar27,,05:17,05:37,07:20,01:30,01:41,01:51,05:06,05:16,08:02,09:45,09:55,01:30,02:00
Mar28,,05:14,05:34,07:17,01:30,01:41,01:51,05:07,05:17,08:04,09:46,09:56,01:30,02:00
Mar29,,05:11,05:31,07:15,01:30,01:41,01:51,05:08,05:18,08:06,09:46,09:56,01:30,02:00
Mar30,,05:08,05:28,07:12,01:30,01:40,01:50,05:09,05:19,08:07,09:46,09:56,01:30,02:00
Mar31,,05:05,05:25,07:10,01:30,01:40,01:50,05:10,05:20,08:09,09:48,09:58,01:30,02:00
Apr01,,05:02,05:22,07:07,01:30,01:40,01:50,05:11,05:21,08:11,09:48,09:58,01:30,02:00
Apr02,,04:59,05:19,07:05,01:30,01:39,01:49,05:12,05:22,08:13,09:49,09:59,01:30,02:00
Apr03,,04:56,05:16,07:03,01:30,01:39,01:49,05:13,05:23,08:15,09:50,10:00,01:30,02:00
Apr04,,04:52,05:12,07:00,01:30,01:39,01:49,05:14,05:24,08:16,09:50,10:00,01:30,02:00
Apr05,,04:49,05:09,06:58,01:30,01:38,01:48,05:15,05:25,08:18,09:51,10:01,01:30,02:00
Apr06,,04:46,05:06,06:55,01:30,01:38,01:48,05:16,05:26,08:20,09:52,10:02,01:30,02:00
Apr07,,04:43,05:03,06:53,01:30,01:38,01:48,05:17,05:27,08:22,09:53,10:03,01:30,02:00
Apr08,,04:39,04:59,06:50,01:30,01:38,01:48,05:18,05:28,08:24,09:53,10:03,01:30,02:00
Apr09,,04:36,04:56,06:48,01:30,01:37,01:47,05:19,05:29,08:26,09:54,10:04,01:30,02:00
Apr10,,04:33,04:53,06:46,01:30,01:37,01:47,05:19,05:29,08:27,09:55,10:05,01:30,02:00
Apr11,,04:29,04:49,06:43,01:30,01:37,01:47,05:20,05:30,08:29,09:55,10:05,01:30,02:00
Apr12,,04:26,04:46,06:41,01:30,01:36,01:46,05:21,05:31,08:31,09:56,10:06,01:30,02:00
Apr13,,04:23,04:43,06:39,01:30,01:36,01:46,05:22,05:32,08:33,09:57,10:07,01:30,02:00
Apr14,,04:19,04:39,06:36,01:30,01:36,01:46,05:23,05:33,08:35,09:57,10:07,01:30,02:00
Apr15,,04:16,04:36,06:34,01:30,01:36,01:46,05:24,05:34,08:36,09:58,10:08,01:30,02:00
Apr16,,04:12,04:32,06:32,01:30,01:35,01:45,05:25,05:35,08:38,09:59,10:09,01:30,02:00
Apr17,,04:08,04:28,06:29,01:30,01:35,01:45,05:26,05:36,08:40,09:59,10:09,01:30,02:00
Apr18,,04:05,04:25,06:27,01:30,01:35,01:45,05:26,05:36,08:42,10:00,10:10,01:30,02:00
Apr19,,04:01,04:21,06:25,01:30,01:35,01:45,05:27,05:37,08:44,10:01,10:11,01:30,02:00
Apr20,,03:57,04:17,06:22,01:30,01:34,01:44,05:28,05:38,08:45,10:01,10:11,01:30,02:00
Apr21,,03:54,04:14,06:20,01:30,01:34,01:44,05:29,05:39,08:47,10:01,10:11,01:30,02:00
Apr22,,03:52,04:12,06:18,01:30,01:34,01:44,05:30,05:40,08:49,10:03,10:13,01:30,02:00
Apr23,,03:51,04:11,06:16,01:30,01:34,01:44,05:31,05:41,08:51,10:05,10:15,01:30,02:00
Apr24,,03:50,04:10,06:14,01:30,01:34,01:44,05:31,05:41,08:53,10:07,10:17,01:30,02:00
Apr25,,03:49,04:09,06:11,01:30,01:33,01:43,05:32,05:42,08:54,10:08,10:18,01:30,02:00
Apr26,,03:48,04:08,06:09,01:30,01:33,01:43,05:33,05:43,08:56,10:10,10:20,01:30,02:00
Apr27,,03:46,04:06,06:07,01:30,01:33,01:43,05:34,05:44,08:58,10:12,10:22,01:30,02:00
Apr28,,03:45,04:05,06:05,01:30,01:33,01:43,05:34,05:44,09:00,10:14,10:24,01:30,02:00
Apr29,,03:44,04:04,06:03,01:30,01:33,01:43,05:35,05:45,09:02,10:16,10:26,01:30,02:00
Apr30,,03:43,04:03,06:01,01:30,01:33,01:43,05:36,05:46,09:03,10:17,10:27,01:30,02:00
May01,,03:42,04:02,05:59,01:30,01:32,01:42,05:37,05:47,09:05,10:19,10:29,01:30,02:00
May02,,03:41,04:01,05:57,01:30,01:32,01:42,05:37,05:47,09:07,10:21,10:31,01:30,02:00
May03,,03:40,04:00,05:55,01:30,01:32,01:42,05:38,05:48,09:09,10:23,10:33,01:30,02:00
May04,,03:39,03:59,05:53,01:30,01:32,01:42,05:39,05:49,09:11,10:25,10:35,01:30,02:00
May05,,03:38,03:58,05:51,01:30,01:32,01:42,05:40,05:50,09:12,10:26,10:36,01:30,02:00
May06,,03:37,03:57,05:49,01:30,01:32,01:42,05:40,05:50,09:14,10:28,10:38,01:30,02:00
May07,,03:36,03:56,05:47,01:30,01:32,01:42,05:41,05:51,09:16,10:30,10:40,01:30,02:00
May08,,03:35,03:55,05:45,01:30,01:32,01:42,05:42,05:52,09:18,10:32,10:42,01:30,02:00
May09,,03:34,03:54,05:43,01:30,01:32,01:42,05:43,05:53,09:19,10:33,10:43,01:30,02:00
May10,,03:33,03:53,05:41,01:30,01:32,01:42,05:43,05:53,09:21,10:35,10:45,01:30,02:00
May11,,03:32,03:52,05:40,01:30,01:32,01:42,05:44,05:54,09:23,10:37,10:47,01:30,02:00
May12,,03:31,03:51,05:38,01:30,01:32,01:42,05:45,05:55,09:25,10:39,10:49,01:30,02:00
May13,,03:30,03:50,05:36,01:30,01:32,01:42,05:45,05:55,09:26,10:40,10:50,01:30,02:00
May14,,03:30,03:50,05:34,01:30,01:32,01:42,05:46,05:56,09:28,10:42,10:52,01:30,02:00
May15,,03:29,03:49,05:33,01:30,01:32,01:42,05:47,05:57,09:30,10:44,10:54,01:30,02:00
May16,,03:28,03:48,05:31,01:30,01:32,01:42,05:47,05:57,09:31,10:45,10:55,01:30,02:00
May17,,03:27,03:47,05:29,01:30,01:32,01:42,05:48,05:58,09:33,10:47,10:57,01:30,02:00
May18,,03:27,03:47,05:28,01:30,01:32,01:42,05:49,05:59,09:34,10:48,10:58,01:30,02:00
May19,,03:26,03:46,05:26,01:30,01:32,01:42,05:49,05:59,09:36,10:50,11:00,01:30,02:00
May20,,03:25,03:45,05:25,01:30,01:32,01:42,05:50,06:00,09:38,10:52,11:02,01:30,02:00
May21,,03:24,03:44,05:24,01:30,01:32,01:42,05:50,06:00,09:39,10:53,11:03,01:30,02:00
May22,,03:24,03:44,05:22,01:30,01:32,01:42,05:51,06:01,09:41,10:55,11:05,01:30,02:00
May23,,03:23,03:43,05:21,01:30,01:32,01:42,05:52,06:02,09:42,10:56,11:06,01:30,02:00
May24,,03:21,03:41,05:19,01:30,01:32,01:42,05:52,06:02,09:44,10:58,11:08,01:30,02:00
May25,,03:19,03:39,05:18,01:30,01:32,01:42,05:53,06:03,09:45,10:59,11:09,01:30,02:00
May26,,03:17,03:37,05:17,01:30,01:32,01:42,05:53,06:03,09:47,11:01,11:11,01:30,02:00
May27,,03:16,03:36,05:16,01:30,01:32,01:42,05:54,06:04,09:48,11:02,11:12,01:30,02:00
May28,,03:14,03:34,05:15,01:30,01:32,01:42,05:54,06:04,09:49,11:03,11:13,01:30,02:00
May29,,03:13,03:33,05:14,01:30,01:33,01:43,05:55,06:05,09:51,11:05,11:15,01:30,02:00
May30,,03:11,03:31,05:13,01:30,01:33,01:43,05:56,06:06,09:52,11:06,11:16,01:30,02:00
May31,,03:10,03:30,05:12,01:30,01:33,01:43,05:56,06:06,09:53,11:07,11:17,01:30,02:00
Jun01,,03:09,03:29,05:11,01:30,01:33,01:43,05:57,06:07,09:54,11:08,11:18,01:30,02:00
Jun02,,03:07,03:27,05:10,01:30,01:33,01:43,05:57,06:07,09:56,11:10,11:20,01:30,02:00
Jun03,,03:06,03:26,05:09,01:30,01:33,01:43,05:58,06:08,09:57,11:11,11:21,01:30,02:00
Jun04,,03:05,03:25,05:08,01:30,01:33,01:43,05:58,06:08,09:58,11:12,11:22,01:30,02:00
Jun05,,03:04,03:24,05:07,01:30,01:34,01:44,05:58,06:08,09:59,11:13,11:23,01:30,02:00
Jun06,,03:03,03:23,05:07,01:30,01:34,01:44,05:59,06:09,10:00,11:14,11:24,01:30,02:00
Jun07,,03:02,03:22,05:06,01:30,01:34,01:44,05:59,06:09,10:01,11:15,11:25,01:30,02:00
Jun08,,03:01,03:21,05:06,01:30,01:34,01:44,06:00,06:10,10:02,11:16,11:26,01:30,02:00
Jun09,,03:00,03:20,05:05,01:30,01:34,01:44,06:00,06:10,10:03,11:17,11:27,01:30,02:00
Jun10,,02:59,03:19,05:05,01:30,01:35,01:45,06:01,06:11,10:03,11:17,11:27,01:30,02:00
Jun11,,02:58,03:18,05:04,01:30,01:35,01:45,06:01,06:11,10:04,11:18,11:28,01:30,02:00
Jun12,,02:58,03:18,05:04,01:30,01:35,01:45,06:01,06:11,10:05,11:19,11:29,01:30,02:00
Jun13,,02:57,03:17,05:04,01:30,01:35,01:45,06:02,06:12,10:06,11:20,11:30,01:30,02:00
Jun14,,02:57,03:17,05:03,01:30,01:35,01:45,06:02,06:12,10:06,11:20,11:30,01:30,02:00
Jun15,,02:56,03:16,05:03,01:30,01:36,01:46,06:02,06:12,10:07,11:21,11:31,01:30,02:00
Jun16,,02:56,03:16,05:03,01:30,01:36,01:46,06:03,06:13,10:07,11:21,11:31,01:30,02:00
Jun17,,02:56,03:16,05:03,01:30,01:36,01:46,06:03,06:13,10:08,11:22,11:32,01:30,02:00
Jun18,,02:56,03:16,05:03,01:30,01:36,01:46,06:03,06:13,10:08,11:22,11:32,01:30,02:00
Jun19,,02:56,03:16,05:03,01:30,01:36,01:46,06:04,06:14,10:09,11:23,11:33,01:30,02:00
Jun20,,02:56,03:16,05:03,01:30,01:37,01:47,06:04,06:14,10:09,11:23,11:33,01:30,02:00
Jun21,,02:56,03:16,05:03,01:30,01:37,01:47,06:04,06:14,10:09,11:23,11:33,01:30,02:00
Jun22,,02:56,03:16,05:04,01:30,01:37,01:47,06:04,06:14,10:09,11:23,11:33,01:30,02:00
Jun23,,02:57,03:17,05:04,01:30,01:37,01:47,06:04,06:14,10:10,11:24,11:34,01:30,02:00
Jun24,,02:57,03:17,05:04,01:30,01:37,01:47,06:05,06:15,10:10,11:24,11:34,01:30,02:00
Jun25,,02:58,03:18,05:05,01:30,01:38,01:48,06:05,06:15,10:10,11:24,11:34,01:30,02:00
Jun26,,02:58,03:18,05:05,01:30,01:38,01:48,06:05,06:15,10:10,11:24,11:34,01:30,02:00
Jun27,,02:59,03:19,05:06,01:30,01:38,01:48,06:05,06:15,10:10,11:24,11:34,01:30,02:00
Jun28,,03:00,03:20,05:06,01:30,01:38,01:48,06:05,06:15,10:09,11:23,11:33,01:30,02:00
Jun29,,03:00,03:20,05:07,01:30,01:38,01:48,06:05,06:15,10:09,11:23,11:33,01:30,02:00
Jun30,,03:01,03:21,05:07,01:30,01:39,01:49,06:05,06:15,10:09,11:23,11:33,01:30,02:00
Jul01,,03:02,03:22,05:08,01:30,01:39,01:49,06:05,06:15,10:08,11:23,11:33,01:30,02:00
Jul02,,03:03,03:23,05:09,01:30,01:39,01:49,06:05,06:15,10:07,11:22,11:32,01:30,02:00
Jul03,,03:04,03:24,05:10,01:30,01:39,01:49,06:05,06:15,10:07,11:22,11:32,01:30,02:00
Jul04,,03:06,03:26,05:11,01:30,01:39,01:49,06:05,06:15,10:06,11:21,11:31,01:30,02:00
Jul05,,03:07,03:27,05:11,01:30,01:40,01:50,06:05,06:15,10:06,11:21,11:31,01:30,02:00
Jul06,,03:08,03:28,05:12,01:30,01:40,01:50,06:05,06:15,10:05,11:20,11:30,01:30,02:00
Jul07,,03:10,03:30,05:13,01:30,01:40,01:50,06:05,06:15,10:04,11:19,11:29,01:30,02:00
Jul08,,03:11,03:31,05:14,01:30,01:40,01:50,06:05,06:15,10:04,11:19,11:29,01:30,02:00
Jul09,,03:12,04:15,05:15,01:30,01:40,02:00,06:05,06:30,10:03,11:18,11:30,01:40,02:00
Jul10,,03:14,04:15,05:17,01:30,01:40,02:00,06:04,06:30,10:02,11:17,11:30,01:40,02:00
Jul11,,03:16,04:15,05:18,01:30,01:40,02:00,06:04,06:30,10:01,11:16,11:30,01:40,02:00
Jul12,,03:17,04:15,05:19,01:30,01:41,02:00,06:04,06:30,10:00,11:15,11:30,01:40,02:00
Jul13,,03:19,04:15,05:20,01:30,01:41,02:00,06:04,06:30,09:59,11:14,11:30,01:40,02:00
Jul14,,03:21,04:15,05:21,01:30,01:41,02:00,06:03,06:30,09:58,11:13,11:30,01:40,02:00
Jul15,,03:22,04:15,05:23,01:30,01:41,02:00,06:03,06:30,09:57,11:12,11:30,01:40,02:00
Jul16,,03:24,04:15,05:24,01:30,01:41,02:00,06:03,06:30,09:56,11:11,11:30,01:40,02:00
Jul17,,03:26,04:15,05:25,01:30,01:41,02:00,06:02,06:30,09:55,11:10,11:30,01:40,02:00
Jul18,,03:28,04:15,05:27,01:30,01:41,02:00,06:02,06:30,09:54,11:09,11:30,01:40,02:00
Jul19,,03:30,04:15,05:28,01:30,01:41,02:00,06:02,06:30,09:53,11:08,11:30,01:40,02:00
Jul20,,03:32,04:15,05:29,01:30,01:41,02:00,06:01,06:30,09:51,11:06,11:10,01:40,02:00
Jul21,,03:34,04:15,05:31,01:30,01:41,02:00,06:01,06:30,09:50,11:05,11:10,01:40,02:00
Jul22,,03:34,04:15,05:32,01:30,01:41,02:00,06:00,06:30,09:49,11:04,11:10,01:40,02:00
Jul23,,03:35,04:15,05:34,01:30,01:42,02:00,06:00,06:30,09:47,11:02,11:10,01:40,02:00
Jul24,,03:36,04:30,05:35,01:30,01:42,02:00,05:59,06:30,09:46,11:01,11:10,01:40,02:00
Jul25,,03:37,04:30,05:37,01:30,01:42,02:00,05:59,06:30,09:44,10:59,11:10,01:40,02:00
Jul26,,03:38,04:30,05:39,01:30,01:42,02:00,05:58,06:30,09:43,10:58,11:10,01:40,02:00
Jul27,,03:38,04:30,05:40,01:30,01:42,02:00,05:58,06:30,09:41,10:56,11:10,01:40,02:00
Jul28,,03:39,04:30,05:42,01:30,01:42,02:00,05:57,06:30,09:39,10:54,11:10,01:40,02:00
Jul29,,03:40,04:30,05:43,01:30,01:42,02:00,05:56,06:30,09:38,10:53,11:10,01:40,02:00
Jul30,,03:41,04:30,05:45,01:30,01:42,02:00,05:56,06:30,09:36,10:51,11:10,01:40,02:00
Jul31,,03:41,04:30,05:47,01:30,01:41,02:00,05:55,06:30,09:34,10:49,11:10,01:40,02:00
Aug01,,03:42,04:30,05:48,01:30,01:41,02:00,05:54,06:30,09:34,10:48,11:10,01:40,02:00
Aug02,,03:43,04:30,05:50,01:30,01:41,02:00,05:53,06:30,09:32,10:46,11:10,01:40,02:00
Aug03,,03:44,04:30,05:52,01:30,01:41,02:00,05:53,06:30,09:30,10:44,11:10,01:40,02:00
Aug04,,03:45,04:30,05:53,01:30,01:41,02:00,05:52,06:30,09:28,10:42,11:10,01:40,02:00
Aug05,,03:45,04:45,05:55,01:30,01:41,02:00,05:51,06:30,09:26,10:40,10:50,01:40,02:00
Aug06,,03:46,04:45,05:57,01:30,01:41,02:00,05:50,06:30,09:24,10:38,10:50,01:40,02:00
Aug07,,03:47,04:45,05:58,01:30,01:41,02:00,05:49,06:30,09:22,10:36,10:50,01:40,02:00
Aug08,,03:48,04:45,06:00,01:30,01:41,02:00,05:48,06:30,09:21,10:35,10:50,01:40,02:00
Aug09,,03:49,04:45,06:02,01:30,01:41,02:00,05:47,06:30,09:19,10:33,10:50,01:40,02:00
Aug10,,03:49,04:45,06:03,01:30,01:40,02:00,05:46,06:00,09:17,10:31,10:50,01:40,02:00
Aug11,,03:50,04:45,06:05,01:30,01:40,02:00,05:45,06:00,09:14,10:28,10:50,01:40,02:00
Aug12,,03:51,04:45,06:07,01:30,01:40,02:00,05:44,06:00,09:12,10:26,10:50,01:40,02:00
Aug13,,03:52,05:00,06:09,01:30,01:40,02:00,05:43,06:00,09:10,10:24,10:30,01:40,02:00
Aug14,,03:52,05:00,06:10,01:30,01:40,02:00,05:42,06:00,09:08,10:22,10:30,01:40,02:00
Aug15,,03:53,05:00,06:12,01:30,01:40,02:00,05:41,06:00,09:06,10:20,10:30,01:40,02:00
Aug16,,03:54,05:00,06:14,01:30,01:39,02:00,05:40,06:00,09:04,10:18,10:30,01:40,02:00
Aug17,,03:55,05:00,06:16,01:30,01:39,02:00,05:39,06:00,09:02,10:16,10:30,01:40,02:00
Aug18,,03:55,05:00,06:17,01:30,01:39,02:00,05:37,06:00,09:00,10:14,10:30,01:40,02:00
Aug19,,03:56,05:00,06:19,01:30,01:39,02:00,05:36,06:00,08:57,10:11,10:30,01:40,02:00
Aug20,,03:57,05:00,06:21,01:30,01:38,02:00,05:35,06:00,08:55,10:09,10:30,01:40,02:00
Aug21,,03:58,05:00,06:23,01:30,01:38,02:00,05:34,06:00,08:53,10:08,10:30,01:40,02:00
Aug22,,03:58,05:00,06:24,01:30,01:38,02:00,05:33,06:00,08:51,10:07,10:30,01:40,02:00
Aug23,,04:01,05:00,06:26,01:30,01:38,02:00,05:31,06:00,08:48,10:05,10:30,01:40,02:00
Aug24,,04:04,05:00,06:28,01:30,01:37,02:00,05:30,06:00,08:46,10:04,10:30,01:40,02:00
Aug25,,04:07,05:00,06:29,01:30,01:37,02:00,05:29,06:00,08:44,10:03,10:30,01:40,02:00
